Name,Location,Address,Establishment Type,Restaurants Features,Meals,Prices ,Cuisine,Meal Type,Good_for,Reviews,Timings,Website_url,Must_try_items,Phone,Description
The Lazy Goose,,"The Lazy Goose, Candolim",,,,"INR 1,400 without alcohol.",,,,,,,,(+917775958419),"Delhi's popular Ping's Cafe Orient has found a permanent home in Goa called Ping's Bia Hoi, a spot that both locals and tourists have come to love. This Vietnamese beer garden meets Southeast Asian street food in Sangolda, North Goa is a peppy, kitschy, music-filled garden housed in Chef Picu's family home. The ambience is reminiscent of the streets and markets of Hanoi with a colourful barbershop kiosk, clothesline at the entrance, and big flower baskets. But it's the food and the freshly-brewed beer that has everyone talking. Favourites that you will order repeats of each time you are here are the Tapioca Pops perfect with a pint of chilled beer (special blends for Ping's Bia Hoi, freshly-brewed on tap by Bira, Goa Brewing Company, and Arbour Brewing Company), Philadelphia Cream Cheese Dim Sums, Sticky Pork Ribs, Red Chilli Clams and Tofu Bao. There are several options for vegetarians, including the classic Thai Curry. The cocktails here are just as ace as its Delhi counterpart, so make sure you try a few."
Mum's Kitchen,,"Mum's Kitchen, Panjim",,,,"INR 1,500 without alcohol",,,,,,,,(+919822175559),"By the riverside, the Lazy Goose is known for its classic Goan seafood. The ambience leans into the riverside dining experience with old wooden boat displays, lots of natural lighting, and of course the breeze! The menu features an eclectic mix of cuisines, though Goan is what the spotlight is on, especially for seafood lovers. Their entire range of crab dishes (the mud crab options are the freshest in town!) and mangrove snapper with their in-house masala mix are must-tries. Vegetarians, unlike many other places in town, the Lazy Goose features Thai, Mediterranean and Continental options that hit the spot. We recommend the risotto and the polenta stacks. Wash it down with one of their signature cocktails, and you’ll wish you’d never have to leave!"
Saz On The Beach,,"Saz On The Beach, Morjim",,,,"INR 1,700 without alcohol",,,,,,,,(+917030077170),"With over two and a half decades of delighting hungry customers from across the world, Mum’s Kitchen in Panjim lives up to its name in fame and spirit. The award winning restaurant (that has only around 10 tables!) celebrates traditional Goan flavours through household recipes, and of course mum’s love. Using fresh, local ingredients and recipes, techniques and knowledge passed down from the owners’ Rony Floriano and Maria Suzette’s mother Mum’s Kitchen is a labour of love. Enjoy classic (and the most authentic in town we hear) Goan fares like Xacuti and Prawn Curry with local bread or Pulao. The staff is happy to suggest wine pairings for meals as well. Their menu is exhaustive, and the ambience is calm and inviting. Do remember to make a reservation before heading there."
Miguel's,,"Miguel's - Cocktails & Petiscos, Panjim",,,,N/A,,,,,,,,(+919112222584),"Saz On The Beach is the latest import from Delhi (same folks behind Saz Delhi) and they will rival most beach view restaurants in Goa with their location that overlooks Morjim Beach. Open from 1 pm and all the way up to 1 am, we recommend you show up just after lunch so you can catch the sunset and then the whole night makes the place look even more beautiful. Canopy hang over the sofa and lounge seating. We are yet to try the menu but we've already spotted some interesting options to try -- Braised Beef Tongue Tacos, Saz Cubano, Black Pepper Crusted Chicken, and a Pan Sear Barramundi. For drinks, we are going with the Sun Saz & Feni. Meal for two: INR 1,400 without alcohol."
S.E.A,,"SEA Assagao, Assagao",,,,"Meal For Two: INR 1,600 without alcohol",,,,,,,,(+919809102007),"The first word that comes to mind when we say ‘Goa’ is alcohol. They’re synonymous, with each other. One cannot holiday in Goa without one drink., Keeping that in mind, we’ve found you a place in the capital of Goa, Panaji, that serves not just great alcohol but also delicious food. Miguel’s – Cocktails, and Pesticos is an art-deco bar that serves a mix of Goan and Portuguese food., Started by two university friends, Dhruv and Ankush, this bar spells cool with its, open kitchen and wide bar setup. With a limited menu for food, with a special one for, kids and a wide range of drinks, you will find yourself satiated after a meal, at Miguel’s."
Rice Mill,,"The Rice Mill, Morjim",,,,"INR 1,700 without alcohol",,,,,,,,(+917447473866),"Set inside a restored Goan house, all roads lead to SEA in Assagao for their Southeast Asian staples and Indian coastal dishes. Think Prawn Thoran and Bok Choy with Mushroom Stir Fry. You must try out the Onion Paniyaram which our LBB User Rene Verma calls phenomenal. There's plenty for vegetarians and for the carnivores too. The Ghee Roast Black Pepper Mutton and Stir-Fried Lobster with Ginger & Black Mushrooms get double thumbs up from us."
Prana Cafe,,"Prana Cafe, Ashwem",,,,INR 800 without alcohol,,,,,,,,(+919850050403),The Rice Mill is a quaint cafe and bar in Morjim that's known for its great cocktails and jazz music. LBB Crew Akshita Zutshi says it's a must-attend for their Saturday night live jazz. The menu is focused on cafe-type meals so you'll find pasta and sandwiches along with breakfast bowls and smoothies. Their coffee and tea menu is worth checking out. Their Lemongrass and Kokum cocktails come highly recommended.
Calamari Bathe & Binge,,"Calamari Bathe & Binge, Candolim",,,,INR 800 without alcohol,,,,,,,,(+917350075105),"Tucked away right at the mouth of Vaayu Waterman’s Village in Ashwem, Prana Cafe in our opinion is one of the best places that lets you enjoy a panoramic view of white sands and clear blue waters. The menu at Prana focuses on food made using locally sourced ingredients. It's heavy on the vegetarian dishes but there's tuna, chorizo, and beef if you prefer meat. Try their Avocado Sandwich, Cous Cous & Hummus Salad, and Smoothie Goji."
Fat Fish,,"Fat Fish, Baga",,,,INR 1500 without alcohol,,,,,,,,(+918806177550),"An old favourite with those holidaying in larger groups, especially families with kids, Calamari must be on your list. Not only does this one have great access to the beach, and you can meander in and out mid-meal, but the food too has been consistent. While it's not really the best food around, it's standard fare, and just what you want after water sports and wading. Think onion rings, fish fingers, chilli chicken, Goan prawn curry and rice, as well as...calamari rings. A word of caution though. While we have had good times here, and despite the wait for a table sometimes, we've always enjoyed it. But a lot of reviews on other platforms have negative feedback."
Sea Wave,South Goa,Benaulim,,,,"Rs  1,500 for 2 (approx)",Chinese and North Indian,,,,,,,,
Jamming Goat,South Goa,Benaulim,,,,"Rs  1,800 for 2 (approx)",Goan and Continental,,,,,,,,
Poseidon's Cove,South Goa,Salcette,,,,"Rs  1,500 for 2 (approx)",Goan and Continental and Thai,,,,,,,,
Blue Iris Beachfront Restaurant,South Goa,Benaulim,,,,"Rs  2,400 for 2 (approx)",North Indian and Chinese and Asian,,,,,,,,
Barbeque,North Goa,Panjim,,,,"Rs  2,300 for 2 (approx)",Goan and North Indian,,,,,,,,
Sea Pebble Restaurant And Bar,North Goa,Dona Paula,,,,"Rs  1,200 for 2 (approx)",Chinese and North Indian and Goan,,,,,,,,
Watermark,North Goa,Panjim,,,,"Rs  1,400 for 2 (approx)",North Indian and Goan and Asian,,,,,,,,
Raki Modern Mezze and More,North Goa,Miramar,,,,"Rs  2,000 for 2 (approx)",Mediterranean and Lebanese,,,,,,,,
Hot Spice Restaurant and Bar,North Goa,Ribandar,,,,Rs  600 for 2 (approx),North Indian and Chinese and Goan,,,,,,,,
Waterfront Terrace And Bar,North Goa,Panjim,,,,"Rs  3,000 for 2 (approx)",Continental and North Indian and Asian,,,,,,,,
Simply Grills,North Goa,Panjim,,,,"Rs  2,100 for 2 (approx)",Goan,,,,,,,,
Tiffin Xpress,North Goa,Verem,,,,Rs  400 for 2 (approx),Street Food,,,,,,,,
Hoble's River Lounge,North Goa,Ribandar,,,,Rs  800 for 2 (approx),North Indian and Goan and Beverages,,,,,,,,
Carlito's by the Sea,North Goa,Verem,,,,"Rs  1,100 for 2 (approx)",Goan,,,,,,,,
Yazu - Pan Asian Beach Club,North Goa,Candolim,,,,"Rs  2,100 for 2 (approx)",Japanese and Thai and Chinese,,,,,,,,
The Park,North Goa,Calangute,,,,"Rs  1,400 for 2 (approx)",North Indian and Goan and Chinese and Continental,,,,,,,,
Purple Martini,North Goa,Anjuna,,,,"Rs  2,000 for 2 (approx)",Continental and Goan and North Indian and Chinese and Desserts,,,,,,,,
Beyond Belief,North Goa,Candolim,,,,"Rs  1,700 for 2 (approx)",Continental and Asian and North Indian and Chinese,,,,,,,,
One Calangute Beach Club,North Goa,Calangute,,,,"Rs  1,600 for 2 (approx)",North Indian and Continental and Chinese and Fast Food,,,,,,,,
La Shack,North Goa,Baga,,,,"Rs  1,200 for 2 (approx)",North Indian and Chinese,,,,,,,,
Sake,North Goa,Assagao,,,,"Rs  1,700 for 2 (approx)",Sushi and Japanese and Asian,,,,,,,,
Pineapple Villa by Raddish,North Goa,Arpora,,,,Rs  900 for 2 (approx),North Indian and Continental and Chinese and Goan,,,,,,,,
Sea Salt Bar & Restaurant,North Goa,Baga,,,,Rs  900 for 2 (approx),Goan and North Indian and Chinese and Beverages,,,,,,,,
Mama Cecelia's Beach Cafe,North Goa,Candolim,,,,"Rs  1,200 for 2 (approx)",Continental,,,,,,,,
Tom's Resto Bar,North Goa,Calangute,,,,"Rs  1,000 for 2 (approx)",North Indian and Continental and Chinese and Goan,,,,,,,,
Mamalouka,North Goa,Anjuna,,,,"Rs  1,200 for 2 (approx)",Goan and Continental,,,,,,,,
Lush By The Cliff,North Goa,Anjuna,,,,Rs  800 for 2 (approx),Continental and Goan and Chinese and Beverages,,,,,,,,
Bo Tai,North Goa,Vagator,,,,"Rs  2,200 for 2 (approx)",Asian and Continental and Thai and Sushi,,,,,,,,
Larive Beach Resort & Restaurant,North Goa,Vagator,,,,"Rs  2,500 for 2 (approx)",Continental and European,,,,,,,,
Spice Traders,North Goa,Vagator,,,,"Rs  2,000 for 2 (approx)",Thai and Chinese and Japanese,,,,,,,,
Olive Bar and Kitchen,North Goa,Vagator,,,,"Rs  2,800 for 2 (approx)",Mediterranean and Italian and Fast Food and Desserts,,,,,,,,
The Kitchen Table,North Goa,Vagator,,,,"Rs  3,500 for 2 (approx)",European and North Indian and Goan and Asian,,,,,,,,
Woo Bar,North Goa,Vagator,,,,"Rs  3,000 for 2 (approx)",Finger Food,,,,,,,,
Moonstar Wooden Oven Pizza and Cocktail Bar,North Goa,Anjuna,,,,Rs  900 for 2 (approx),Continental and Beverages,,,,,,,,
Felix Beach House,North Goa,Morjim,,,,"Rs  1,000 for 2 (approx)",Fast Food and Beverages,,,,,,,,
Goodplace,North Goa,Anjuna,,,,Rs  800 for 2 (approx),Continental and Italian and Burger,,,,,,,,
Occo,North Goa,Vagator,,,,"Rs  2,000 for 2 (approx)",Continental and Mediterranean and Asian,,,,,,,,
Chia Lounge,North Goa,Morjim,,,,Rs  400 for 2 (approx),Health Food and North Indian and Fast Food and Beverages,,,,,,,,
Badmaash,North Goa,Vagator,,,,"Rs  1,800 for 2 (approx)",North Indian,,,,,,,,
Chia Lounge,North Goa,Mandrem,,,,Rs  400 for 2 (approx),Health Food and North Indian and Fast Food and Beverages,,,,,,,,
Terra & Mare - Med Kitchen & Cocktail Bar,North Goa,Arambol,,,,"Rs  1,400 for 2 (approx)",Mediterranean,,,,,,,,
Waterfront,North Goa,Mandrem,,,,Rs  800 for 2 (approx),Goan and Chinese,,,,,,,,
Breakers,North Goa,Arambol,,,,"Rs  1,100 for 2 (approx)",Continental and North Indian and Desserts,,,,,,,,
Monarch by The Regalia,North Goa,Mandrem,,,,Rs  800 for 2 (approx),North Indian and Fast Food,,,,,,,,
Wisteria Cafe,North Goa,Mandrem,,,,"Rs  1,400 for 2 (approx)",Goan and Continental and Chinese and North Indian,,,,,,,,
Azule,North Goa,Mandrem,,,,"Rs  1,300 for 2 (approx)",Continental and Beverages,,,,,,,,
Leda,South Goa,Colva,,,,"Rs  1,100 for 2 (approx)",Continental and Goan and Seafood,,,,,,,,
The Southern Deck,South Goa,Benaulim,,,,"Rs  1,000 for 2 (approx)",Asian and Continental and North Indian and Fast Food,,,,,,,,
Nazar�,South Goa,Colva,,,,"Rs  1,300 for 2 (approx)",European and Goan and North Indian,,,,,,,,
Mickey's,South Goa,Colva,,,,"Rs  1,200 for 2 (approx)",Seafood and Goan and North Indian,,,,,,,,
Zeebop,South Goa,Majorda,,,,"Rs  1,200 for 2 (approx)",Goan and Seafood,,,,,,,,
The Royal Afghan � Seaside Barbeque and Grill,South Goa,Cansaulim,,,,"Rs  2,000 for 2 (approx)",North Indian,,,,,,,,
Olive Garden,South Goa,Benaulim,,,,"Rs  1,000 for 2 (approx)",Chinese and Goan and North Indian and Seafood,,,,,,,,
Kia's Cafe,South Goa,Colva,,,,Rs  500 for 2 (approx),Fast Food,,,,,,,,
Simrose,South Goa,Palolem,,,,"Rs  1,400 for 2 (approx)",Continental and North Indian and Seafood,,,,,,,,
Joet's Bar And Restaurant,South Goa,Bogmalo,,,,"Rs  1,000 for 2 (approx)",North Indian and Chinese and Goan and Seafood,,,,,,,,
Agonda Cottages,South Goa,Agonda,,,,Rs  800 for 2 (approx),Continental and Goan,,,,,,,,
Cocktails & Dreams,South Goa,Palolem,,,,"Rs  1,000 for 2 (approx)",Seafood and Chinese and Continental and Goan and North Indian,,,,,,,,
Dragon,South Goa,Palolem,,,,Rs  600 for 2 (approx),Continental and Goan and Seafood,,,,,,,,
Papayas,South Goa,Palolem,,,,Rs  800 for 2 (approx),Goan and Seafood,,,,,,,,
Lobby Lounge,North Goa,Panjim,,,,"Rs  2,500 for 2 (approx)",Finger Food,,,,,,,,
Kokum Kitchen,North Goa,Candolim,,,,"Rs  2,000 for 2 (approx)",Goan and Seafood and Continental,,,,,,,,
Morisco,North Goa,Candolim,,,,"Rs  2,200 for 2 (approx)",Goan and Portuguese and Seafood,,,,,,,,
Caravela,North Goa,Candolim,,,,"Rs  2,000 for 2 (approx)",Goan and Italian and Continental and Health Food and Desserts and Beverages and Fast Food,,,,,,,,
Beach House,North Goa,Candolim,,,,"Rs  3,100 for 2 (approx)",Goan and Portuguese and Seafood,,,,,,,,
Aahaata,North Goa,Candolim,,,,"Rs  2,100 for 2 (approx)",North Indian and Mughlai,,,,,,,,
Monico's Shack,North Goa,Candolim,,,,"Rs  1,100 for 2 (approx)",Goan and North Indian and Seafood,,,,,,,,
St. Anthony's,North Goa,Baga,,,,"Rs  1,200 for 2 (approx)",Goan and Continental and Seafood,,,,,,,,
Capricorn Goa,North Goa,Calangute,,,,"Rs  1,300 for 2 (approx)",Continental and North Indian and Seafood,,,,,,,,
Coco Joe's Beach Shack,North Goa,Calangute,,,,Rs  800 for 2 (approx),Fast Food and Seafood and Chinese and Goan and North Indian,,,,,,,,
Zanzibar,North Goa,Baga,,,,"Rs  1,200 for 2 (approx)",Fast Food,,,,,,,,
The Mango Tree,North Goa,Vagator,,,,"Rs  1,400 for 2 (approx)",Chinese and Goan and Italian and North Indian,,,,,,,,
Sunrise,North Goa,Arpora,,,,Rs  800 for 2 (approx),North Indian and Goan and Desserts,,,,,,,,
Thalassa,North Goa,Siolim,,,,"Rs  2,000 for 2 (approx)",Mediterranean and Greek and Seafood,,,,,,,,
Titlie,North Goa,Anjuna,,,,"Rs  2,200 for 2 (approx)",Continental and Seafood and Modern Indian,,,,,,,,
Eva Cafe,North Goa,Anjuna,,,,Rs  800 for 2 (approx),Health Food and Fast Food,,,,,,,,
Cafe Lilliput,North Goa,Anjuna,,,,"Rs  1,300 for 2 (approx)",Continental and North Indian and Goan and Italian,,,,,,,,
Elephant Beach Cafe,North Goa,Anjuna,,,,Rs  800 for 2 (approx),Fast Food and Goan,,,,,,,,
The Beach House,North Goa,Vagator,,,,"Rs  1,200 for 2 (approx)",Asian and European and Italian and Mexican,,,,,,,,
Saz On The Beach,North Goa,Morjim,,,,"Rs  1,500 for 2 (approx)",Continental,,,,,,,,
LR Beach Lounge,North Goa,Morjim,,,,"Rs  1,000 for 2 (approx)",Continental and Mediterranean,,,,,,,,
Club M,North Goa,Arambol,,,,"Rs  1,200 for 2 (approx)",Finger Food,,,,,,,,
Hungry Gecko's,North Goa,Arambol,,,,"Rs  1,500 for 2 (approx)",Chinese and Continental and Desserts and Fast Food and Italian and North Indian and Seafood,,,,,,,,
Go With the Flow,,Address: 614 Baga River Rd. Baga,,,,"Price: small plates ₹180-420, mains ₹430-840",,,,,Hours: noon-10.30pm,Website: www.gowiththeflowgoa.com,,Phone: 7507771556,"Stepping into the fantasy, neon-lit garden of white-wicker furniture is impressive and the food is consistently good. With a global menu leaning towards European, African and Asian flavours, this remains one of Baga's best dining experiences. Try some of the small bites (ask about a tasting plate) or go straight for the signature pork belly or African-inspired spicy prawn rice."
Black Sheep Bistro,,Address: Swami Vivekanand Rd,,,,"Price: tapas ₹250-400, mains ₹350-600",,,,,Hours: noon-4pm & 7pm-midnight,Website: www.blacksheepbistro.in,,Phone: 0832-2222901,"Among the best of Panaji's burgeoning boutique restaurants, Black Sheep’s impressive pale-yellow facade gives way to a sexy dark-wood bar and loungy dining room. The tapas dishes are light, fresh and expertly prepared in keeping with their farm-to-table philosophy. Salads, pasta, seafood and dishes like lamb osso buco grace the menu, while an internationally trained sommelier matches food to wine."
Viva Panjim,,Address: 31st January Rd,,,,Price: mains ₹160-300,,,,,"Hours: 11.30am-3.30pm & 7-11pm Mon-Sat, 7-11pm Sun",,,Phone: 0832-2422405,"Well-known to tourists, this little side-street eatery, in an old Portuguese house and with a few tables out on the laneway, delivers tasty Goan classics at reasonable prices. There’s a whole page devoted to pork dishes, along with tasty xacuti (a spicy chicken or meat dish cooked in red coconut sauce) and cafreal (a marinated chicken dish) meals."
Thalassa,,,,,,Price: mains ₹300-750,,,,,Hours: 4pm-midnight,Website: www.thalassaindia.com,,Phone: 9850033537,North Goa's most famous Greek restaurant was forced out of its long-running Vagator location in 2018 but has found a new waterfront home at Teso in Siolim. Still authentic and awesomely good Greek food is served al fresco overlooking the Chapora River.
Bean Me Up,,Address: 1639/2 Deulvaddo. Vagator,,,,Price: mains ₹200-400,,,,,Hours: 8am-11pm,Website: www.beanmeup.in,,,"Bean Me Up is vegan, but even nonveg travellers will be blown away by the taste, variety and filling plates on offer in this relaxed garden restaurant. The extensive menu includes vegan pizzas, ice creams, housemade tofu curry and innovative salads. Ingredients are as diverse as coconut, cashew milk and cashew cheese, quinoa, tempeh and lentil dhal."
Shimon,,Address: Glastonbury St,,,,Price: mains ₹160-250,,,,,Hours: 9am-11pm,,,Phone: 9011113576,"Just back from the beach, and understandably popular with Israeli backpackers, Shimon is the place to fill up on exceptional falafel or sabich (crisp slices of eggplant stuffed into pita bread along with boiled egg, boiled potato and salad). The East-meets-Middle-East thali (₹450) comprises a little bit of almost everything on the menu."
Longhuino’s,,Address: Luis Miranda Rd,,,,Price: mains ₹180-320,,,,,Hours: 8.30am-10pm,,,Phone: 0832-2739908,"A local institution since 1950, quaint old Longhuino’s serves up tasty Indian, Goan and Chinese dishes, popular with locals and tourists alike. Go for a Goan dish like ambot tik (a slightly sour but fiery curry dish), and leave room for the retro desserts such as rum balls and tiramisu."
Hotel Venite,,Address: 31st January Rd,,,,Price: mains ₹320-440,,,,,Hours: 9am-10.30pm,,,,"With its cute rickety balcony tables overhanging the cobbled street, Venite has long been among the most atmospheric of Panaji’s Goan restaurants. The menu is traditional, with spicy sausages, fish curry rice, pepper steak and bebinca (Goan 16-layer cake), but Venite is popular with tourists and prices are consequently inflated. Drop in for a beer or shot of feni (Goan liquor) before deciding."
Café Chocolatti,,Address: 409A Fort Aguada Rd,,,,"Price: sweets ₹50-200, mains ₹250-450",,,,,Hours: 9am-5pm Mon-Sat,,,,"The lovely garden tearoom at Café Chocolatti may be on the main Fort Aguada Rd, but it’s a peaceful retreat where chocolate brownies, waffles and banoffee pie with a strong cup of coffee or organic green tea taste like heaven. Also has a great range of salads, paninis, crepes and quiches for lunch. Take away a bag of chocolate truffles, homemade by the in-house chocolatier."
Jaali Cafe,,,,,,Price: small plates ₹180-220,,,,,"Hours: 9am-6pm Tue, to 11pm Wed-Sun",,,Phone: 8007712248,"The menu at this lovely garden cafe is something special, with a delicious range of tapas-style Middle Eastern and Mediterranean plates – choose two or three dishes each and share. Sunday brunch is a stellar event popular with local expats. There's also an excellent boutique and a highly regarded massage therapist on hand."
Villa Blanche Bistro,,Address: 283 Badem Church Rd,,,,"Price: breakfast ₹100-380, mains ₹350-480",,,,,Hours: 9am-11pm Thu-Tue Nov-May,Website: www.villablanche-goa.com,,,"This lovely, German-run, chilled garden cafe draws diners to the back lanes of Assagao. Salads, sandwiches, filled bagels and cakes are specialities, but you'll also find Thai curry and German sausages, as well as lots of vegetarian and vegan options. For an indulgent breakfast or brunch try the waffles and pancakes. Sunday brunch (from 10am) is legendary."
Artjuna Cafe,,Address: Market Rd,,,,Price: mains ₹130-480,,,,,Hours: 7.30am-10.30pm,Website: www.artjuna.com,,Phone: 0832-2274794,"Artjuna is right up there with our favourite cafes in Anjuna. Along with all-day breakfast, outstanding espresso coffee, salads, smoothies, sandwiches and Middle Eastern surprises like baba ganoush, tahini and falafel, this sweet garden cafe has an excellent craft and lifestyle shop, yoga classes, movie nights and a useful noticeboard. Great meeting place."
Baba Au Rhum,,Address: Anjuna-Baga Rd,,,,"Price: baguettes ₹210-300, mains ₹480-550",,,,,,,,Phone: 9657210468,"It's tucked away on the back road between Anjuna and Baga but Baba Au Rhum's reputation (it was previously in Arpora) means it's always busy. Part bakery, part French cafe, this is the place for filled baguettes, croissants, crostini or quiche, as well as creamy pastas or a filet mignon. Craft beer on tap and a relaxed, open garden–restaurant vibe."
A Reverie,,Address: Holiday St. Calangute,,,,Price: mains ₹450-800,,,,,Hours: 7pm-late,Website: www.areverie.com,,Phone: 8380095732,"A gorgeous lounge bar, all armchairs, cool jazz and whimsical outdoor space, this is the place to spoil yourself, with the likes of Spanish tapas, truffle bombs, grilled asparagus, French wines and Italian cheeses. A Reverie likes to style itself as ‘fun dining’ and doesn’t take itself too seriously. Though it takes its cocktails seriously."
Magic Italy,,Address: 260 Palolem Beach Rd,,,,Price: mains ₹260-500,,,,,Hours: 1-11pm,,,Phone: 8805767705,"On the main beach road, Magic Italy has been around since 1999 and the quality of its pizza and pasta remains high, with imported Italian ingredients like ham, salami, cheese and olive oil, imaginative 13-inch wood-fired pizzas and homemade pasta. Sit at tables, or Arabian-style on floor cushions. The atmosphere is busy but chilled."
Ourem 88,,,,,,Price: mains ₹550-800,,,,,Hours: 6-10pm Tue-Sun,,,Phone: 8698827679,"British-run Ourem 88 is a gastronomic sensation. It has just a handful of tables and a small but masterful menu, with changing specials chalked up on the blackboard. Try baked brie, tender calamari stuffed with Goan sausage, braised lamb shank or fluffy soufflé. English roast dinner on Sunday. Worth a splurge."
Choco Cream Gelati,,Address: Mazal Vaddo,,,,Price: ice cream & gelato ₹120-180,,,,,Hours: 9am-midnight,,,,"This may well be the best Italian-style gelato and ice cream in Goa and regulars know it. Scoops in a cup or waffle cone, shakes, juices and espresso coffee are all available and there's a regular parade of flavours from lemon cheesecake to salted caramel and tiramisu. There's al fresco eating out front."
Cafe Bodega,,Address: Altinho,,,,Price: mains ₹170-340,,,,,"Hours: 10am-7pm Mon-Sat, to 4pm Sun",Website: www.cafebodegagoa.in,,Phone: 0832-2421315,"It’s well worth a trip up to Altinho Hill to visit this serene inner courtyard cafe-gallery in an azure-and-white Portuguese mansion in the grounds of Sunaparanta Centre for the Arts. Enjoy good coffee, juices and freshly baked cakes around the inner courtyard or lunch on super pizzas and sandwiches."
Bomra’s,,Address: 247 Fort Aguada Rd,,,,Price: mains ₹520-650,,,,,Hours: noon-2pm & 7-11pm,Website: www.bomras.com,,Phone: 9767591056,"Wonderfully unusual food is on offer at this sleek little place serving interesting modern Burmese cuisine with a fusion twist. Aromatic dishes include Bomra's mussel curry, chicken pho or Burmese rice and noodle salad. Decor is palm-thatch-style huts in a lovely courtyard garden."
Karma Cafe & Bakery,,Address: Patnem Rd. Colomb,,,,"Price: baked goods from ₹60, mains ₹120-230",,,,,Hours: 6.30am-9.30pm,,,Phone: 9764504253,"Pull up a cushion at this chilled cafe and bakery opposite the Colomb road and delve into a superb range of freshly baked breads, croissants and pastries as well as coffee and smoothies. Delve further for momos, Nepali thalis and even Vietnamese rice paper rolls."
Republic of Noodles,,Address: Lemon Tree Amarante Beach Resort,,,,Price: mains ₹425-650,,,,,Hours: 11.30am-3pm & 7-11pm,,,,"For a sophisticated dining experience, the RoN at the Lemon Tree Amarante delivers with its dark bamboo interior, Buddha heads and floating candles. Seeking to re-create Southeast Asian street food, you’ll get delicious, huge noodle plates, including a fabulous pad thai and some exciting options for vegetarians."
Prana Cafe,,Address: Asvem Beach Rd,,,,Price: mains ₹220-460,,,,,Hours: 9am-10pm,Website: www.vaayuvision.com,,Phone: 9850050403,"There's a healthy vibe in this open-air cafe, part of the excellent Vaayu Village complex, and it naturally extends to the food. From the superfood smoothies and chia bowls to zucchini quinoa fritters, there's a wholesome freshness to the menu. It's not all vegetarian, though, with tacos and basil chicken burgers."
This Is It,,,,,,Price: mains ₹160-370,,,,,Hours: 8am-11pm,,,Phone: 7775078620,"Many travellers rate this the coolest place on the northern beachfront. A big menu of well-prepared Indian staples, Goan dishes, Chinese, seafood, momos and pasta is complemented by a laid-back, traveller-friendly vibe, generous happy hours and regular live music. Popular Holy Cow Backpackers is behind."
Newton’s,,Address: Fort Aguada Rd,,,,,,,,,Hours: 9.30am-1am,,,,"If you’re desperately missing Edam cheese or Marmite, or just want to do some self-catering, Newton’s is Goa’s biggest supermarket. There’s a good line in toiletries, wines, children’s toys and luxury food items. The downside is that it’s often packed and security guards won’t allow bags inside."
Martin's,,,,,,Price: mains ₹360-900,,,,,Hours: 11am-3.30pm & 7-11pm,,,,"It's a welcome feeling to step off Margao's hot and busy street into the cool and classy interior of Martin's. There's just 10 tables, attentive service and an eclectic menu of tapas starters, pan-Indian dishes, steaks and fish cooked on Canadian cedar wood. Just off the north end of the Municipal Gardens."
Stone House,,Address: Fort Aguada Rd,,,,Price: mains ₹200-800,,,,,Hours: 11am-3pm & 7pm-midnight,,,,"Surf ‘n’ turf’s the thing at this venerable old Candolim venue, inhabiting a stone house and its leafy front courtyard, with the improbable-sounding ‘Swedish Lobster’ topping the list, along with some Goan dishes. It’s also a popular blues bar with live music most nights of the week in season."
Kopi Desa,,,,,,"Price: small plates ₹150-295, mains ₹350-695",,,,,Hours: 8am-11pm,,,Phone: 7767831487,"The name translates from Indonesian as 'coffee village' but this al fresco restaurant and cocktail bar has become firmly established for its imaginative Euro-centric menu, tapas-style plates, from pork-belly bites to crab and lobster tortellini, sourdough pizzas and burgers. Regular live music in season."
Café Inn,,Address: Palolem Beach Rd,,,,Price: mains ₹100-450,,,,,Hours: 8am-11pm,,,Phone: 7507322799,"If you’re craving a strong latte or a rum-infused slushie, Café Inn, which grinds its own blend of coffee beans, is one of Palolem’s more popular hang-outs off the beach. Breakfasts are filling, and comfort-food burgers and panini sandwiches hit the spot. Regular live music and party nights."
Fellini,,Address: Glastonbury St,,,,Price: mains ₹200-450,,,,,Hours: from 6.30pm,,,Phone: 9881461224,"On the left-hand side just before the beach, this long-standing, evening-only Italian joint is perfect if you’re craving a carbonara or calzone. More than 40 wood-fired, thin-crust pizza varieties are on the menu, but save space for a very decent rendition of tiramisu. Live music in season."
German Bakery,,Address: Ourem Rd,,,,"Price: pastries ₹30-80, mains ₹100-300",,,,,Hours: 7am-10pm,,,,"Tasty baked treats are the stars at the established Nepali-run German Bakery, but there is also an excellent range of set breakfasts and yummy stuff like yak-cheese croissants, along with Israeli, Chinese, Italian and Indian options. It’s set in a peaceful garden festooned with flags."
Plantain Leaf,,Address: Calangute Beach Rd. Calangute,,,,"Price: veg thali ₹150, mains ₹130-270",,,,,Hours: 11am-5pm & 7-11.45pm,,,Phone: 0832-2279860,"In the heart of Calangute’s busy market area, 1st-floor Plantain Leaf has consistently been the area’s best pure veg restaurant for many years, with classic South Indian banana leaf thalis and dosas, along with more North Indian flavours. Most dishes sneak into the budget category."
Bluebird,,Address: Ozran Beach Rd. Vagator,,,,Price: mains ₹280-480,,,,,Hours: 8.30am-11pm,Website: www.bluebirdgoa.com,,,"Bluebird specialises in Goan cuisine, with genuine vindaloos, chicken cafreal (marinated in a sauce of chillies, garlic and ginger), fish curry rice and Goan sausages among the temptations, as well as some delicately spiced seafood dishes. Dine in the lovely open garden cafe."
